id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,product_type
"RWTOBJASS2200963600S1","Wrapped in Happiness Overlay","Wrapped in Happiness Overlay",in stock,new,"3240 INR","https://reistor.in/products/wrapped-in-happiness-overlay","https://cdn.shopify.com/s/files/1/0522/4657/7337/products/Wrapped_in_Happiness_Overlay_1.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/products/Wrapped_in_Happiness_Overlay_2.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/products/Wrapped_in_Happiness_Overlay_3.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/products/Wrapped_in_Happiness_Overlay_4.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/products/Wrapped_in_Happiness_Overlay_5.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/products/Wrapped_in_Happiness_Overlay_6.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/products/Wrapped_in_Happiness_Overlay_7.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/products/Wrapped_in_Happiness_Overlay_8.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Wrapped_in_Happiness_Overlay_9.png","Reistor","Jackets"
"RWNBKBLSS2302516000","Summer Heat Blazer in Black","Summer Heat Blazer in Black",in stock,new,"4200 INR","https://reistor.in/products/summer-heat-blazer-in-black","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Summer_Heat_Blazer_in_Black.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/SUMMERHEATBLAZER4.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/SUMMERHEATBLAZER7.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/SUMMERHEATBLAZER6.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/SUMMERHEATBLAZER5.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/SUMMERHEATBLAZER3.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/SUMMERHEATBLAZER8.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/SUMMERHEATBLAZER1.jpg","Reistor","Jackets"
"RWWCTTUFW24048696","Cropped Cotton Tweed Vest in Cream","Cropped Cotton Tweed Vest in Cream",in stock,new,"4800 INR","https://reistor.in/products/cropped-cotton-tweed-vest-in-cream","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Cropped_Cotton_Tweed_Vest_in_Cream_bf117bec-2ae6-48db-ae74-68ffba55ae61.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/CroppedCottonTweedVest-ChestnutTwist-02.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/CroppedCottonTweedVest-ChestnutTwist-01.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/CroppedCottonTweedVest-ChestnutTwist-05.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/CroppedCottonTweedVest-ChestnutTwist-07.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/CroppedCottonTweedVest-ChestnutTwist-09.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/CroppedCottonTweedVest-ChestnutTwist-11.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/CroppedCottonTweedVest-ChestnutTwist-13.jpg","Reistor","Jackets"
"RWWSBJAFW240459144","Lady Jacket in Grey Cotton Tweed","Lady Jacket in Grey Cotton Tweed",in stock,new,"4800 INR","https://reistor.in/products/lady-jacket-in-grey-cotton-tweed","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Lady_Jacket_in_Grey_Cotton_Tweed.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/LadyJacketinCottonTweed-SteelBreeze-02.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/LadyJacketinCottonTweed-SteelBreeze-03.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/LadyJacketinCottonTweed-SteelBreeze-04.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/LadyJacketinCottonTweed-SteelBreeze-05.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/LadyJacketinCottonTweed-SteelBreeze-06.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/LadyJacketinCottonTweed-SteelBreeze-07.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/LadyJacketinCottonTweed-SteelBreeze-08.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/LadyJacketinCottonTweed-SteelBreeze-9.jpg","Reistor","Jackets"
"RWHWHBLSS2100506000","She's Everything Blazer in White","She's Everything Blazer in White",in stock,new,"6000 INR","https://reistor.in/products/shes-everything-blazer-in-white","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/She_s_Everything_Blazer_in_White_1.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/She_s_Everything_Blazer_in_White_2.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/She_s_Everything_Blazer_in_White_3.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/She_s_Everything_Blazer_in_White_4.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/She_s_Everything_Blazer_in_White_5.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/She_s_Everything_Blazer_in_White_6.png,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/The-She_s-Everything-Blazer-White-6.jpg","Reistor","Jackets"
"RWKTETUFW24128199","Relaxed Tee in Teal","Relaxed Tee in Teal",in stock,new,"1500 INR","https://reistor.in/products/relaxed-tee-in-teal","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/1._e6ceec6d-dfe8-42a9-88c1-7d20e1e576c7.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/2._096f7e28-8061-4b8c-b631-14b6e5256396.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/4._266b4378-2b66-4dac-bef4-79601a97a27c.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/5..jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/3._7729fb44-ee7e-4d48-b26b-d187ce4d90a4.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/6..jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/7..jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/8..jpg","Reistor","Tops"
"RWOLNTUSS2509363600","Relaxed V-neck Top in Stripes","Relaxed V-neck Top in Stripes",in stock,new,"2400 INR","https://reistor.in/products/relaxed-v-neck-top-in-stripes","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/RelaxedV-neckTopinStripes-1_8f6e803b-7c95-4c1e-ab03-6fb50bebfd2a.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/RelaxedV-neckTopinStripes-3_611db80b-5ccf-4e60-bd0f-99360e4ab6cc.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/RelaxedV-neckTopinStripes-2_d320f790-effe-4c37-8bf7-d23712f8f4ca.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/RelaxedV-neckTopinStripes-6_42f7840a-e2ce-4a00-bb38-bac29bb8b000.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/RelaxedV-neckTopinStripes-4_b06a7b8c-e399-4692-9bd6-56b441659770.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/RelaxedV-neckTopinStripes-5_0b81f564-5fb3-4aac-821c-b0ec0d939623.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/RelaxedV-neckTopinStripes-7_45895417-eebc-4641-9388-d3a74102722a.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/RelaxedV-neckTopinStripes-8_f971e9f5-f035-45d9-b76f-585e6b49a08d.jpg","Reistor","Tops"
"RWOEBTURS26096696","V-Neck Embroidered Top with Front Buttons in Black","V-Neck Embroidered Top with Front Buttons in Black",in stock,new,"3600 INR","https://reistor.in/products/v-neck-embroidered-top-with-front-buttons-in-black","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-1.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-2.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-3.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-4.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-5.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-6.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-7.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-8.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-9.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/v-neck-embroidered-top-with-front-buttons-in-black-10.jpg","Reistor","Tops"
"RWHBLTUSS2100033900","Wind in my Hair Shirt in Blue","Wind in my Hair Shirt in Blue",in stock,new,"3900 INR","https://reistor.in/products/wind-in-my-hair-shirti-in-summer-blue","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Wind_in_my_Hair_Shirt_in_Blue_1.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Wind_in_my_Hair_Shirt_in_Blue_2.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Wind_in_my_Hair_Shirt_in_Blue_3.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Wind_in_my_Hair_Shirt_in_Blue_4.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Wind_in_my_Hair_Shirt_in_Blue_5.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/Wind-in-My-Hair-Shirt-Blue-6.jpg","Reistor","Tops"
"RWBBLTUFW24060096","The Knot-so-Basic Top in Black","The Knot-so-Basic Top in Black",in stock,new,"6000 INR","https://reistor.in/products/the-knot-so-basic-top-in-black","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/The_Knot-so-Basic_Top-1_2.jpg","https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-2.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-3.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-4.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-5.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-6.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-7.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-8.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-9.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-10.jpg,https://cdn.shopify.com/s/files/1/0522/4657/7337/files/TheKnot-so-BasicTop-11.jpg","Reistor","Tops"
